location,"69117 Heidelberg (Altstadt), Grabengasse xx xx"
postcode,69117
price,650
price unit,€
price description,Kaltmiete zzgl. NK
size,32.0
size unit,m²
rooms,1.5
Building year,
location,69126 Heidelberg (Rohrbach)
postcode,69126
price,195000
price unit,€
price description,Kaufpreis
size,38.0
size unit,m²
rooms,1.5
Energy label,D
Final energy usage,123.0
Energy usage unit,kWh/(m²·a)
Building year,
location,69126 Heidelberg (Boxberg)
postcode,69126
price,560
price unit,€
price description,Kaltmiete zzgl. NK
size,78.0
size unit,m²
rooms,2.0
Building year,
location,69124 Heidelberg (Kirchheim)
postcode,69124
price,449000
price unit,€
price description,Kaufpreis
size,135.0
size unit,m²
rooms,3.5
Energy label,D
Final energy usage,113.0
Energy usage unit,kWh/(m²·a)
Building year,
location,69121 Heidelberg (Handschuhsheim)
postcode,69121
price,1020
price unit,€
price description,Kaltmiete zzgl. NK
size,99.0
size unit,m²
rooms,3.0
Final energy usage,170.0
Energy usage unit,kWh/(m²·a)
Building year,
location,"69117 Heidelberg (Altstadt), Hauptstraße  101"
postcode,69117
price,1050
price unit,€
price description,Kaltmiete zzgl. NK
size,50.0
size unit,m²
rooms,2.0
Building year,
location,97944 Boxberg
postcode,97944
price,1000
price unit,€
price description,Kaltmiete zzgl. NK
size,83.0
size unit,m²
rooms,3.0
Energy label,C
Final energy usage,94.0
Energy usage unit,kWh/(m²·a)
Building year,
location,69115 Heidelberg (Bergheim)
postcode,69115
price,1250000
price unit,€
price description,Kaufpreis
size,220.0
size unit,m²
rooms,4.0
Energy label,A
Building year,
location,69118 Heidelberg (Ziegelhausen)
postcode,69118
price,390
price unit,€
price description,Kaltmiete zzgl. NK
size,34.0
size unit,m²
rooms,1.5
Building year,
location,69115 Heidelberg (Bergheim)
postcode,69115
price,1480
price unit,€
price description,Kaltmiete zzgl. NK
size,97.0
size unit,m²
rooms,2.0
Energy label,B
Building year,
location,"69123 Heidelberg (Wieblingen), Adlerstraße 10"
postcode,69123
price,927
price unit,€
price description,Kaltmiete zzgl. NK
size,81.0
size unit,m²
rooms,3.0
Building year,
location,69126 Heidelberg (Emmertsgrund)
postcode,69126
price,205000
price unit,€
price description,Kaufpreis
size,86.37
size unit,m²
rooms,3.5
Energy label,D
Final energy usage,103.0
Energy usage unit,kWh/(m²·a)
Building year,
location,69124 Heidelberg / Kirchheim
postcode,69124
price,255000
price unit,€
price description,Kaufpreis
size,66.65
size unit,m²
rooms,2.0
Energy label,F
Final energy usage,148.7
Energy usage unit,kWh/(m²·a)
Building year,
location,69115 Heidelberg (Weststadt)
postcode,69115
price,148500
price unit,€
price description,Kaufpreis
size,35.0
size unit,m²
rooms,1.0
Energy label,C
Final energy usage,90.09
Energy usage unit,kWh/(m²·a)
Building year,
location,"69115 Heidelberg (Weststadt), Darwinstraße 6"
postcode,69115
price,715
price unit,€
price description,Kaltmiete zzgl. NK
size,34.36
size unit,m²
rooms,2.0
Building year,
location,69121 Heidelberg / Handschuhsheim
postcode,69121
price,275000
price unit,€
price description,Kaufpreis
size,58.4
size unit,m²
rooms,1.0
Energy label,C
Building year,
location,"69115 Heidelberg (Bergheim), Kurfürsten-Anlage 70 70"
postcode,69115
price,405
price unit,€
price description,Kaltmiete zzgl. NK
size,18.0
size unit,m²
rooms,1.0
Building year,
location,69118 Heidelberg (Ziegelhausen)
postcode,69118
price,280000
price unit,€
price description,Kaufpreis
size,70.0
size unit,m²
rooms,3.0
Energy label,H
Building year,
location,"69126 Heidelberg (Emmertsgrund), Mombertplatz 33"
postcode,69126
price,440
price unit,€
price description,Kaltmiete zzgl. NK
size,70.8
size unit,m²
rooms,2.0
Building year,
location,"69123 Heidelberg (Pfaffengrund), Kranichweg 57"
postcode,69123
price,1100
price unit,€
price description,Kaltmiete zzgl. NK
size,105.0
size unit,m²
rooms,3.0
Building year,
location,69117 Heidelberg (Altstadt)
postcode,69117
price,1360
price unit,€
price description,Kaltmiete zzgl. NK
size,64.0
size unit,m²
rooms,2.0
Energy label,D
Building year,
location,69117 Heidelberg (Altstadt)
postcode,69117
price,2015
price unit,€
price description,Kaltmiete zzgl. NK
size,106.0
size unit,m²
rooms,4.0
Energy label,D
Building year,
location,69117 Heidelberg (Altstadt)
postcode,69117
price,1760
price unit,€
price description,Kaltmiete zzgl. NK
size,90.0
size unit,m²
rooms,3.0
Energy label,D
Building year,
location,69117 Heidelberg (Altstadt)
postcode,69117
price,1240
price unit,€
price description,Kaltmiete zzgl. NK
size,61.0
size unit,m²
rooms,2.0
Energy label,D
Building year,
location,69117 Heidelberg (Altstadt)
postcode,69117
price,1700
price unit,€
price description,Kaltmiete zzgl. NK
size,90.0
size unit,m²
rooms,3.0
Energy label,D
Building year,
location,69117 Heidelberg (Altstadt)
postcode,69117
price,1755
price unit,€
price description,Kaltmiete zzgl. NK
size,89.0
size unit,m²
rooms,3.0
Energy label,D
Building year,
location,69117 Heidelberg (Altstadt)
postcode,69117
price,1690
price unit,€
price description,Kaltmiete zzgl. NK
size,89.0
size unit,m²
rooms,3.0
Energy label,D
Building year,
location,69126 Heidelberg (Emmertsgrund)
postcode,69126
price,189999
price unit,€
price description,Kaufpreis
size,90.0
size unit,m²
rooms,3.0
Energy label,D
Final energy usage,118.0
Energy usage unit,kWh/(m²·a)
Building year,
location,69126 Heidelberg (Boxberg)
postcode,69126
price,390
price unit,€
price description,Kaltmiete zzgl. NK
size,41.41
size unit,m²
rooms,2.0
Building year,
location,69117 Heidelberg (Altstadt)
postcode,69117
price,1690
price unit,€
price description,Kaltmiete zzgl. NK
size,143.0
size unit,m²
rooms,4.0
Building year,
location,69115 Heidelberg (Bergheim)
postcode,69115
price,1950
price unit,€
price description,Kaltmiete zzgl. NK
size,122.87
size unit,m²
rooms,4.0
Building year,
location,"69126 Heidelberg (Rohrbach), Konstanzer Straße 25"
postcode,69126
price,1210
price unit,€
price description,Kaltmiete zzgl. NK
size,109.0
size unit,m²
rooms,3.5
Energy label,E
Final energy usage,141.9
Energy usage unit,kWh/(m²·a)
Building year,
location,69120 Heidelberg (Neuenheim)
postcode,69120
price,1650
price unit,€
price description,Kaltmiete zzgl. NK
size,80.0
size unit,m²
rooms,2.0
Building year,
location,69120 Heidelberg (Neuenheim)
postcode,69120
price,2900
price unit,€
price description,Kaltmiete zzgl. NK
size,105.0
size unit,m²
rooms,3.0
Building year,
location,69118 Heidelberg / Schlierbach
postcode,69118
price,798000
price unit,€
price description,Kaufpreis
size,167.0
size unit,m²
rooms,3.0
Final energy usage,185.9
Energy usage unit,kWh/(m²·a)
Building year,
location,"69124 Heidelberg (Kirchheim), Konradgasse 4"
postcode,69124
price,300000
price unit,€
price description,Kaufpreis
size,98.0
size unit,m²
rooms,4.0
Energy label,B
Building year,
location,"69126 Heidelberg (Rohrbach), Karlsruher Str. 122"
postcode,69126
price,370
price unit,€
price description,Kaltmiete zzgl. NK
size,24.0
size unit,m²
rooms,1.0
Building year,
location,69117 Heidelberg (Altstadt)
postcode,69117
price,990
price unit,€
price description,Kaltmiete zzgl. NK
size,40.0
size unit,m²
rooms,2.0
Building year,
location,69121 Heidelberg (Handschuhsheim)
postcode,69121
price,130000
price unit,€
price description,Kaufpreis
size,27.0
size unit,m²
rooms,1.0
Energy label,E
Final energy usage,145.0
Energy usage unit,kWh/(m²·a)
Building year,
location,69126 Heidelberg / Emmertsgrund
postcode,69126
price,289900
price unit,€
price description,Kaufpreis
size,108.0
size unit,m²
rooms,3.0
Energy label,D
Final energy usage,102.0
Energy usage unit,kWh/(m²·a)
Building year,
location,69121 Heidelberg / Handschuhsheim
postcode,69121
price,585000
price unit,€
price description,Kaufpreis
size,95.66
size unit,m²
rooms,3.0
Building year,
location,69117 Heidelberg (Altstadt)
postcode,69117
price,2700
price unit,€
price description,Kaltmiete zzgl. NK
size,208.0
size unit,m²
rooms,7.0
Building year,
location,69123 Heidelberg / Wieblingen
postcode,69123
price,125000
price unit,€
price description,Kaufpreis
size,20.0
size unit,m²
rooms,1.0
Energy label,C
Final energy usage,83.8
Energy usage unit,kWh/(m²·a)
Building year,
location,69117 Heidelberg (Altstadt)
postcode,69117
price,453000
price unit,€
price description,Kaufpreis
size,59.61
size unit,m²
rooms,3.0
Building year,
location,69118 Heidelberg / Ziegelhausen
postcode,69118
price,450
price unit,€
price description,Kaltmiete zzgl. NK
size,14.0
size unit,m²
rooms,1.0
Energy label,B
Building year,
location,69118 Heidelberg / Ziegelhausen
postcode,69118
price,450
price unit,€
price description,Kaltmiete zzgl. NK
size,17.0
size unit,m²
rooms,1.0
Energy label,B
Building year,
location,69115 Heidelberg (Bergheim)
postcode,69115
price,1080
price unit,€
price description,Kaltmiete zzgl. NK
size,54.0
size unit,m²
rooms,2.0
Energy label,C
Final energy usage,85.0
Energy usage unit,kWh/(m²·a)
Building year,
location,69115 Heidelberg (Bergheim)
postcode,69115
price,1180
price unit,€
price description,Kaltmiete zzgl. NK
size,59.0
size unit,m²
rooms,2.0
Energy label,C
Final energy usage,82.0
Energy usage unit,kWh/(m²·a)
Building year,
location,69126 Heidelberg (Rohrbach)
postcode,69126
price,199000
price unit,€
price description,Kaufpreis
size,56.0
size unit,m²
rooms,2.0
Final energy usage,132.0
Energy usage unit,kWh/(m²·a)
Building year,
location,69115 Heidelberg (Weststadt)
postcode,69115
price,2260
price unit,€
price description,Kaltmiete zzgl. NK
size,150.0
size unit,m²
rooms,4.0
Building year,
location,69115 Heidelberg (Weststadt)
postcode,69115
price,2090
price unit,€
price description,Kaltmiete zzgl. NK
size,140.0
size unit,m²
rooms,3.0
Building year,
location,69117 Heidelberg (Altstadt)
postcode,69117
price,1680
price unit,€
price description,Kaltmiete zzgl. NK
size,116.7
size unit,m²
rooms,3.0
Building year,
location,69120 Heidelberg / Neuenheim
postcode,69120
price,1390000
price unit,€
price description,Kaufpreis
size,159.58
size unit,m²
rooms,4.0
Building year,
location,69120 Heidelberg (Neuenheim)
postcode,69120
price,1305
price unit,€
price description,Kaltmiete zzgl. NK
size,60.0
size unit,m²
rooms,2.0
Building year,
location,69121 Heidelberg (Handschuhsheim)
postcode,69121
price,1350
price unit,€
price description,Kaltmiete zzgl. NK
size,56.0
size unit,m²
rooms,2.0
Building year,
location,"69126 Heidelberg (Boxberg), Boxbergring 12"
postcode,69126
price,110000
price unit,€
price description,Kaufpreis
size,42.0
size unit,m²
rooms,1.5
Final energy usage,155.0
Energy usage unit,kWh/(m²·a)
Building year,
location,69115 Heidelberg (Bergheim)
postcode,69115
price,2090
price unit,€
price description,Kaltmiete zzgl. NK
size,153.0
size unit,m²
rooms,4.0
Building year,
location,"69121 Heidelberg (Handschuhsheim), Hans-Thoma-Str. 20"
postcode,69121
price,1800
price unit,€
price description,Kaltmiete zzgl. NK
size,160.0
size unit,m²
rooms,5.5
Energy label,D
Building year,
location,69124 Heidelberg (Kirchheim)
postcode,69124
price,320000
price unit,€
price description,Kaufpreis
size,76.0
size unit,m²
rooms,3.0
Building year,
location,69115 Heidelberg (Weststadt)
postcode,69115
price,420000
price unit,€
price description,Kaufpreis
size,85.0
size unit,m²
rooms,3.0
Energy label,C
Building year,
location,69126 Heidelberg (Rohrbach)
postcode,69126
price,284000
price unit,€
price description,Kaufpreis
size,67.0
size unit,m²
rooms,2.0
Building year,
location,69117 Heidelberg / Altstadt
postcode,69117
price,395000
price unit,€
price description,Kaufpreis
size,75.0
size unit,m²
rooms,1.0
Building year,
location,69117 Heidelberg (Altstadt)
postcode,69117
price,468000
price unit,€
price description,Kaufpreis
size,61.0
size unit,m²
rooms,3.0
Building year,
location,69118 Heidelberg (Ziegelhausen)
postcode,69118
price,649000
price unit,€
price description,Kaufpreis
size,160.0
size unit,m²
rooms,5.0
Energy label,C
Building year,
location,69121 Heidelberg (Handschuhsheim)
postcode,69121
price,1260
price unit,€
price description,Kaltmiete zzgl. NK
size,126.4
size unit,m²
rooms,4.5
Building year,
location,69118 Heidelberg / Ziegelhausen
postcode,69118
price,398500
price unit,€
price description,Kaufpreis
size,109.51
size unit,m²
rooms,4.0
Energy label,E
Building year,
location,69126 Heidelberg (Boxberg)
postcode,69126
price,265000
price unit,€
price description,Kaufpreis
size,97.54
size unit,m²
rooms,4.0
Energy label,D
Final energy usage,120.0
Energy usage unit,kWh/(m²·a)
Building year,
location,69117 Heidelberg (Altstadt)
postcode,69117
price,1500
price unit,€
price description,Kaltmiete zzgl. NK
size,115.0
size unit,m²
rooms,
Building year,
location,"69118 Heidelberg (Ziegelhausen), Kleingemünder Straße 72"
postcode,69118
price,220000
price unit,€
price description,Kaufpreis
size,63.0
size unit,m²
rooms,2.0
Energy label,C
Final energy usage,99.0
Energy usage unit,kWh/(m²·a)
Building year,
location,69121 Heidelberg / Handschuhsheim
postcode,69121
price,585000
price unit,€
price description,Kaufpreis
size,95.66
size unit,m²
rooms,3.0
Building year,
location,"69126 Heidelberg (Boxberg), Boxbergring 3"
postcode,69126
price,220000
price unit,€
price description,Kaufpreis
size,83.0
size unit,m²
rooms,3.0
Energy label,E
Final energy usage,144.28
Energy usage unit,kWh/(m²·a)
Building year,
location,69118 Heidelberg (Ziegelhausen)
postcode,69118
price,370837
price unit,€
price description,Kaufpreis
size,85.25
size unit,m²
rooms,4.0
Building year,
location,69118 Heidelberg (Ziegelhausen)
postcode,69118
price,669160
price unit,€
price description,Kaufpreis
size,153.83
size unit,m²
rooms,6.0
Building year,
location,69118 Heidelberg (Ziegelhausen)
postcode,69118
price,715270
price unit,€
price description,Kaufpreis
size,164.43
size unit,m²
rooms,6.0
Building year,
location,69118 Heidelberg (Ziegelhausen)
postcode,69118
price,365400
price unit,€
price description,Kaufpreis
size,84.0
size unit,m²
rooms,4.0
Building year,
location,69121 Heidelberg (Handschuhsheim)
postcode,69121
price,625000
price unit,€
price description,Kaufpreis
size,95.66
size unit,m²
rooms,3.0
Building year,
location,69126 Heidelberg (Emmertsgrund)
postcode,69126
price,350
price unit,€
price description,Kaltmiete zzgl. NK
size,25.0
size unit,m²
rooms,1.0
Energy label,D
Final energy usage,104.0
Energy usage unit,kWh/(m²·a)
Building year,
location,69115 Heidelberg (Weststadt)
postcode,69115
price,145000
price unit,€
price description,Kaufpreis
size,24.0
size unit,m²
rooms,1.0
Energy label,D
Final energy usage,103.0
Energy usage unit,kWh/(m²·a)
Building year,
location,69126 Heidelberg (Rohrbach)
postcode,69126
price,690000
price unit,€
price description,Kaufpreis
size,150.72
size unit,m²
rooms,5.0
Energy label,B
Final energy usage,55.0
Energy usage unit,kWh/(m²·a)
Building year,
location,69121 Heidelberg (Handschuhsheim)
postcode,69121
price,1100
price unit,€
price description,Kaltmiete zzgl. NK
size,56.0
size unit,m²
rooms,2.0
Building year,
location,69124 Heidelberg (Kirchheim)
postcode,69124
price,1000
price unit,€
price description,Kaltmiete zzgl. NK
size,90.0
size unit,m²
rooms,3.0
Building year,
location,69120 Heidelberg (Neuenheim)
postcode,69120
price,1305
price unit,€
price description,Kaltmiete zzgl. NK
size,60.0
size unit,m²
rooms,2.0
Building year,
location,69120 Heidelberg / Neuenheim (Handschuhsheim)
postcode,69120
price,520000
price unit,€
price description,Kaufpreis
size,90.0
size unit,m²
rooms,3.0
Energy label,A
Final energy usage,156.0
Energy usage unit,kWh/(m²·a)
Building year,
location,69117 Heidelberg (Altstadt)
postcode,69117
price,2250000
price unit,€
price description,Kaufpreis
size,196.0
size unit,m²
rooms,4.0
Energy label,A
Building year,
location,"69126 Heidelberg (Boxberg), Buchwaldweg 17"
postcode,69126
price,980
price unit,€
price description,Kaltmiete zzgl. NK
size,98.0
size unit,m²
rooms,4.0
Building year,
location,69126 Heidelberg (Südstadt)
postcode,69126
price,495000
price unit,€
price description,Kaufpreis
size,80.3
size unit,m²
rooms,3.0
Building year,
location,69126 Heidelberg (Südstadt)
postcode,69126
price,519000
price unit,€
price description,Kaufpreis
size,84.45
size unit,m²
rooms,3.0
Building year,
location,69126 Heidelberg (Südstadt)
postcode,69126
price,602000
price unit,€
price description,Kaufpreis
size,97.79
size unit,m²
rooms,4.0
Building year,
location,69126 Heidelberg (Südstadt)
postcode,69126
price,516000
price unit,€
price description,Kaufpreis
size,83.97
size unit,m²
rooms,3.0
Building year,
location,69126 Heidelberg (Südstadt)
postcode,69126
price,508000
price unit,€
price description,Kaufpreis
size,80.54
size unit,m²
rooms,3.0
Building year,
location,69126 Heidelberg (Südstadt)
postcode,69126
price,502000
price unit,€
price description,Kaufpreis
size,79.54
size unit,m²
rooms,3.0
Building year,
location,69126 Heidelberg (Südstadt)
postcode,69126
price,484000
price unit,€
price description,Kaufpreis
size,78.55
size unit,m²
rooms,3.0
Building year,
location,69126 Heidelberg (Emmertsgrund)
postcode,69126
price,244900
price unit,€
price description,Kaufpreis
size,114.0
size unit,m²
rooms,4.0
Building year,
location,69118 Heidelberg (Ziegelhausen)
postcode,69118
price,1025
price unit,€
price description,Kaltmiete zzgl. NK
size,86.0
size unit,m²
rooms,3.0
Final energy usage,140.0
Energy usage unit,kWh/(m²·a)
Building year,
location,69118 Heidelberg (Ziegelhausen)
postcode,69118
price,298000
price unit,€
price description,Kaufpreis
size,98.0
size unit,m²
rooms,3.0
Final energy usage,139.8
Energy usage unit,kWh/(m²·a)
Building year,
location,69121 Heidelberg (Handschuhsheim)
postcode,69121
price,615000
price unit,€
price description,Kaufpreis
size,97.0
size unit,m²
rooms,3.5
Energy label,F
Building year,
location,"69121 Heidelberg (Handschuhsheim), Fritz-Frey-Straße 6"
postcode,69121
price,82000
price unit,€
price description,Kaufpreis
size,26.0
size unit,m²
rooms,1.0
Energy label,D
Final energy usage,125.0
Energy usage unit,kWh/(m²·a)
Building year,
location,69120 Heidelberg / Neuenheim
postcode,69120
price,3900
price unit,€
price description,Kaltmiete zzgl. NK
size,240.0
size unit,m²
rooms,8.0
Building year,
location,69115 Heidelberg (Bergheim)
postcode,69115
price,2600
price unit,€
price description,Kaltmiete zzgl. NK
size,190.0
size unit,m²
rooms,4.5
Final energy usage,162.0
Energy usage unit,kWh/(m²·a)
Building year,
location,69118 Heidelberg / Schlierbach
postcode,69118
price,420000
price unit,€
price description,Kaufpreis
size,77.0
size unit,m²
rooms,3.0
Energy label,A+
Building year,
location,69121 Heidelberg (Handschuhsheim)
postcode,69121
price,1330000
price unit,€
price description,Kaufpreis
size,171.0
size unit,m²
rooms,5.0
Energy label,F
Final energy usage,174.0
Energy usage unit,kWh/(m²·a)
Building year,
location,"69115 Heidelberg (Bergheim), Alte Eppelheimer Str."
postcode,69115
price,320000
price unit,€
price description,Kaufpreis
size,66.0
size unit,m²
rooms,2.0
Building year,
location,69118 Heidelberg (Ziegelhausen)
postcode,69118
price,449000
price unit,€
price description,Kaufpreis
size,107.54
size unit,m²
rooms,4.0
Building year,
location,"69115 Heidelberg (Weststadt), Bahnhofstraße 26"
postcode,69115
price,2240
price unit,€
price description,Kaltmiete zzgl. NK
size,135.0
size unit,m²
rooms,4.0
Building year,
location,69123 Heidelberg (Wieblingen)
postcode,69123
price,970
price unit,€
price description,Warmmiete
size,45.0
size unit,m²
rooms,2.0
Building year,
location,"69118 Heidelberg (Ziegelhausen), Schweizertalstraße 19"
postcode,69118
price,190000
price unit,€
price description,Kaufpreis
size,64.91
size unit,m²
rooms,2.0
Energy label,B
Building year,
location,"69117 Heidelberg (Altstadt), Plöck 85"
postcode,69117
price,690
price unit,€
price description,Kaltmiete zzgl. NK
size,55.0
size unit,m²
rooms,2.0
Building year,
location,69121 Heidelberg (Handschuhsheim)
postcode,69121
price,1245
price unit,€
price description,Kaltmiete zzgl. NK
size,100.0
size unit,m²
rooms,3.0
Final energy usage,101.0
Energy usage unit,kWh/(m²·a)
Building year,
location,"69126 Heidelberg (Rohrbach), Kalrsruherstr. 130"
postcode,69126
price,360
price unit,€
price description,Kaltmiete zzgl. NK
size,23.0
size unit,m²
rooms,1.0
Final energy usage,109.0
Energy usage unit,kWh/(m²·a)
Building year,
location,69117 Heidelberg (Altstadt)
postcode,69117
price,1200
price unit,€
price description,Kaltmiete zzgl. NK
size,73.0
size unit,m²
rooms,2.5
Building year,
location,69117 Heidelberg (Altstadt)
postcode,69117
price,500
price unit,€
price description,Kaltmiete zzgl. NK
size,34.0
size unit,m²
rooms,2.0
Building year,
